Station ID,Datastream Name,Observed Property,Unit,Result,Timestamp,Latitude,Longitude,CountryCode
3861,SPO_NO0094A_1_1044,SO2,µg/m3,1.60732201,2022-01-08T10:00:00Z/2022-01-08T11:00:00Z,69.65617,30.42147,NO
3864,SO2 at Vollgata,SO2,µg/m3,28.7360458,2025-06-21T17:00:00Z/2025-06-21T18:00:00Z,59.27897,11.12228,NO
3867,SPO_NO0015R_1_1550,SO2,µg/m3,0.1199,2018-12-29T23:00:00Z/2018-12-30T00:00:00Z,65.83089,13.90655,NO
3867,O3 at Tustervatn,O3,µg/m3,93.6,2025-05-12T10:00:00Z/2025-05-12T11:00:00Z,65.83089,13.90655,NO
3867,SPO_NO0015R_8_1549,NO2,µg/m3,0.1642,2018-12-29T23:00:00Z/2018-12-30T00:00:00Z,65.83089,13.90655,NO
3868,SPO_NO0056R_1_1534,SO2,µg/m3,0.04,2018-12-29T23:00:00Z/2018-12-30T00:00:00Z,60.37288,11.07407,NO
3868,SPO_NO0056R_5_1539,PM10,µg/m3,1.18999999,2018-12-30T23:00:00Z/2018-12-31T00:00:00Z,60.37288,11.07407,NO
3868,O3 at Hurdal25,O3,µg/m3,77.8,2025-06-21T17:00:00Z/2025-06-21T18:00:00Z,60.37288,11.07407,NO
3868,SPO_NO0056R_8_1536,NO2,µg/m3,3.0874,2018-12-29T23:00:00Z/2018-12-30T00:00:00Z,60.37288,11.07407,NO
3868,SPO_NO0056R_6001_1566,PM2.5,µg/m3,0.88,2018-12-30T23:00:00Z/2018-12-31T00:00:00Z,60.37288,11.07407,NO
3869,SPO_NO0039R_1_1543,SO2,µg/m3,0.0599,2018-12-29T23:00:00Z/2018-12-30T00:00:00Z,62.78246,8.87658,NO
3869,SPO_NO0039R_5_1546,PM10,µg/m3,1.23,2018-12-30T23:00:00Z/2018-12-31T00:00:00Z,62.78246,8.87658,NO
3869,O3 at Kårvatn,O3,µg/m3,60.6,2025-06-21T17:00:00Z/2025-06-21T18:00:00Z,62.78246,8.87658,NO
3869,SPO_NO0039R_8_1542,NO2,µg/m3,0.7226,2018-12-29T23:00:00Z/2018-12-30T00:00:00Z,62.78246,8.87658,NO
