Station ID,Datastream Name,Observed Property,Unit,Result,Timestamp,Latitude,Longitude,CountryCode
3202,SPO_PL0252A_8_001,NO2,µg/m3,36.5,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,53.121764,17.987906,PL
3202,SPO_PL0252A_9_001,NOX,µg/m3,22.7,2024-05-08T22:00:00Z/2024-05-08T23:00:00Z,53.121764,17.987906,PL
3202,SPO_PL0252A_1_001,SO2,µg/m3,0.8,2020-01-03T08:00:00Z/2020-01-03T09:00:00Z,53.121764,17.987906,PL
3202,"PM10 at Bydgoszcz, pl. Poznański",PM10,µg/m3,11.8,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,53.121764,17.987906,PL
3202,SPO_PL0252A_10_001,CO,mg/m3,0.565,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,53.121764,17.987906,PL
3202,SPO_PL0252A_6001_001,PM2.5,µg/m3,2.5,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,53.121764,17.987906,PL
3202,SPO_PL0252A_38_001,NO,µg/m3,11.9,2023-05-04T08:00:00Z/2023-05-04T09:00:00Z,53.121764,17.987906,PL
3203,SPO_PL0209A_8_001,NO2,µg/m3,25,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,52.738214,15.228667,PL
3203,SPO_PL0209A_9_001,NOX,µg/m3,18.9485,2024-05-08T22:00:00Z/2024-05-08T23:00:00Z,52.738214,15.228667,PL
3203,SPO_PL0209A_1_001,SO2,µg/m3,1,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,52.738214,15.228667,PL
3203,PM10 at Gorzów Wlkp. ul. Kosynierów Gdyńskich,PM10,µg/m3,13.7,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,52.738214,15.228667,PL
3203,SPO_PL0209A_7_001,O3,µg/m3,63,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,52.738214,15.228667,PL
3203,SPO_PL0209A_10_001,CO,mg/m3,0.432,2025-01-07T09:00:00Z/2025-01-07T10:00:00Z,52.738214,15.228667,PL
3203,SPO_PL0209A_6001_001,PM2.5,µg/m3,8.8,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,52.738214,15.228667,PL
3203,SPO_PL0209A_38_001,NO,µg/m3,2.17428,2023-12-04T21:00:00Z/2023-12-04T22:00:00Z,52.738214,15.228667,PL
3204,SPO_PL0552A_8_001,NO2,µg/m3,12.9965,2024-01-09T09:00:00Z/2024-01-09T10:00:00Z,50.159406,19.477464,PL
3204,SPO_PL0552A_9_001,NOX,µg/m3,19.4181,2024-01-09T09:00:00Z/2024-01-09T10:00:00Z,50.159406,19.477464,PL
3204,SPO_PL0552A_1_001,SO2,µg/m3,4.2,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,50.159406,19.477464,PL
3204,"PM10 at Trzebinia, os. Związku Walki Młodych",PM10,µg/m3,22,2025-06-21T18:00:00Z/2025-06-21T19:00:00Z,50.159406,19.477464,PL
3204,SPO_PL0552A_7_001,O3,µg/m3,52.1761,2024-01-09T09:00:00Z/2024-01-09T10:00:00Z,50.159406,19.477464,PL
3204,SPO_PL0552A_10_001,CO,mg/m3,0.221,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,50.159406,19.477464,PL
3204,SPO_PL0552A_6001_001,PM2.5,µg/m3,19.53999999,2018-12-30T23:00:00Z/2018-12-31T00:00:00Z,50.159406,19.477464,PL
3204,SPO_PL0552A_38_001,NO,µg/m3,3.12782,2023-12-04T21:00:00Z/2023-12-04T22:00:00Z,50.159406,19.477464,PL
3206,"NO2 at Granica, KPN",NO2,µg/m3,2.3,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,52.285858,20.454653,PL
3206,SPO_PL0128A_9_001,NOX,µg/m3,4.3,2024-05-08T22:00:00Z/2024-05-08T23:00:00Z,52.285858,20.454653,PL
3206,SPO_PL0128A_1_001,SO2,µg/m3,1.2,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,52.285858,20.454653,PL
3206,SPO_PL0128A_7_001,O3,µg/m3,89.7,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,52.285858,20.454653,PL
3206,SPO_PL0128A_38_001,NO,µg/m3,0.4,2023-05-04T08:00:00Z/2023-05-04T09:00:00Z,52.285858,20.454653,PL
3209,NO2 at Widuchowa,NO2,µg/m3,8.5,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,53.122325,14.382245,PL
3209,SPO_PL0182A_9_001,NOX,µg/m3,6.78707,2024-05-08T22:00:00Z/2024-05-08T23:00:00Z,53.122325,14.382245,PL
3209,SPO_PL0182A_1_001,SO2,µg/m3,4.1,2025-06-21T19:00:00Z/2025-06-21T20:00:00Z,53.122325,14.382245,PL
