Station ID,Datastream Name,Observed Property,Unit,Result,Timestamp,Latitude,Longitude,CountryCode
4140,SPO-SE0054A_00001_100,SO2,µg/m3,0.044,2025-06-21T13:00:00Z/2025-06-21T14:00:00Z,55.700832,13.200842,SE
4140,SPO-SE0054A_00007_100,O3,µg/m3,64.3,2025-06-21T15:00:00Z/2025-06-21T16:00:00Z,55.700832,13.200842,SE
4140,NO2 at Lund Spyken,NO2,µg/m3,0.56,2025-06-21T15:00:00Z/2025-06-21T16:00:00Z,55.700832,13.200842,SE
4141,SPO-SE0022A_00001_100,SO2,µg/m3,0.55,2018-11-01T09:50:00Z/2018-11-01T10:50:00Z,59.316007,18.057807,SE
4141,PM10 at Stockholm Torkel Knutssongatan,PM10,µg/m3,5.3869,2025-06-16T12:00:00Z/2025-06-16T13:00:00Z,59.316007,18.057807,SE
4141,O3 at Stockholm Torkel Knutssongatan,O3,µg/m3,70.206,2025-06-20T13:00:00Z/2025-06-20T14:00:00Z,59.316007,18.057807,SE
4141,SPO-SE0022A_00008_101,NO2,µg/m3,2.1832,2025-06-20T13:00:00Z/2025-06-20T14:00:00Z,59.316007,18.057807,SE
4141,SPO-SE0022A_00009_100,NOX,µg/m3,4.29999999,2018-12-31T22:00:00Z/2018-12-31T23:00:00Z,59.316007,18.057807,SE
4141,SPO-SE0022A_06001_100,PM2.5,µg/m3,3,2018-12-31T22:00:00Z/2018-12-31T23:00:00Z,59.316007,18.057807,SE
4142,SPO-SE0014R_00001_100,SO2,µg/m3,0.154,2018-12-30T23:00:00Z/2018-12-31T00:00:00Z,57.393612,11.91418,SE
4142,PM10 at Råö,PM10,µg/m3,15.9,2025-06-21T15:00:00Z/2025-06-21T16:00:00Z,57.393612,11.91418,SE
4142,SPO-SE0014R_00007_100,O3,µg/m3,91.5,2025-06-21T15:00:00Z/2025-06-21T16:00:00Z,57.393612,11.91418,SE
4142,SPO-SE0014R_00008_100,NO2,µg/m3,3.228,2018-12-30T23:00:00Z/2018-12-31T00:00:00Z,57.393612,11.91418,SE
4142,SPO-SE0014R_06001_100,PM2.5,µg/m3,5.1,2024-03-11T11:00:00Z/2024-03-11T12:00:00Z,57.393612,11.91418,SE
4143,SPO-SE0005R_00001_100,SO2,µg/m3,0.01,2018-12-30T23:00:00Z/2018-12-31T00:00:00Z,63.845497,15.31973,SE
4143,PM10 at Bredkälen,PM10,µg/m3,2.1,2025-06-21T15:00:00Z/2025-06-21T16:00:00Z,63.845497,15.31973,SE
4143,SPO-SE0005R_00007_100,O3,µg/m3,59.7,2025-06-21T15:00:00Z/2025-06-21T16:00:00Z,63.845497,15.31973,SE
4143,SPO-SE0005R_00008_100,NO2,µg/m3,0.262,2018-12-30T23:00:00Z/2018-12-31T00:00:00Z,63.845497,15.31973,SE
4143,PM2.5 at Bredkälen,PM2.5,µg/m3,1.6,2025-06-21T15:00:00Z/2025-06-21T16:00:00Z,63.845497,15.31973,SE
4144,SPO-SE0101A_00001_100,SO2,µg/m3,-0.3,2018-12-08T13:00:00Z/2018-12-08T14:00:00Z,65.583186,22.143828,SE
4144,SPO-SE0101A_00007_100,O3,µg/m3,18.5,2018-12-07T02:00:00Z/2018-12-07T03:00:00Z,65.583186,22.143828,SE
4144,SPO-SE0101A_00008_100,NO2,µg/m3,19.5,2018-12-20T15:00:00Z/2018-12-20T16:00:00Z,65.583186,22.143828,SE
4145,SPO-SE0102A_00001_100,SO2,µg/m3,0.75725,2025-06-21T15:00:00Z/2025-06-21T16:00:00Z,60.608299,15.6294,SE
4145,SPO-SE0102A_00007_100,O3,µg/m3,61.433,2025-06-21T15:00:00Z/2025-06-21T16:00:00Z,60.608299,15.6294,SE
4145,NO2 at Falun Östra Falan,NO2,µg/m3,1.3645,2025-06-21T03:00:00Z/2025-06-21T04:00:00Z,60.608299,15.6294,SE
4146,SPO-SE00186_00001_100,SO2,µg/m3,0.305,2018-12-03T16:20:00Z/2018-12-03T17:20:00Z,63.053,18.299,SE
4146,SPO-SE00186_00007_100,O3,µg/m3,41,2018-12-03T16:20:00Z/2018-12-03T17:20:00Z,63.053,18.299,SE
4146,SPO-SE00186_00008_100,NO2,µg/m3,0.712,2018-12-03T16:20:00Z/2018-12-03T17:20:00Z,63.053,18.299,SE
4147,SPO-SE00205_00001_100,SO2,µg/m3,0.30082677,2018-12-01T10:10:00Z/2018-12-01T11:10:00Z,62.014,13.516,SE
4147,SPO-SE00205_00007_100,O3,µg/m3,47.97135492,2018-12-01T10:10:00Z/2018-12-01T11:10:00Z,62.014,13.516,SE
4147,SPO-SE00205_00008_100,NO2,µg/m3,0.71579054,2018-12-01T10:10:00Z/2018-12-01T11:10:00Z,62.014,13.516,SE
4148,SPO-SE00291_00001_100,SO2,µg/m3,0.403,2018-12-03T14:00:00Z/2018-12-03T15:00:00Z,58.6019,12.1894,SE
4148,SPO-SE00291_00007_100,O3,µg/m3,33.10999999,2018-12-03T14:00:00Z/2018-12-03T15:00:00Z,58.6019,12.1894,SE
4148,SPO-SE00291_00008_100,NO2,µg/m3,2.27599999,2018-12-03T14:00:00Z/2018-12-03T15:00:00Z,58.6019,12.1894,SE
4149,SPO-SE0053A_00001_100,SO2,µg/m3,1.499,2025-06-21T14:00:00Z/2025-06-21T15:00:00Z,56.047271,12.691271,SE
4149,SPO-SE0053A_00007_100,O3,µg/m3,57.29,2025-06-21T14:00:00Z/2025-06-21T15:00:00Z,56.047271,12.691271,SE
4149,NO2 at Helsingborg Norr,NO2,µg/m3,6.741,2025-06-21T14:00:00Z/2025-06-21T15:00:00Z,56.047271,12.691271,SE
4150,SPO-SE0053R_00001_100,SO2,µg/m3,0.497,2018-12-01T12:20:00Z/2018-12-01T13:20:00Z,64.0865,20.9398,SE
4150,SPO-SE0053R_00007_100,O3,µg/m3,35.35,2018-12-01T12:20:00Z/2018-12-01T13:20:00Z,64.0865,20.9398,SE
4150,SPO-SE0053R_00008_100,NO2,µg/m3,1.401,2018-12-01T12:20:00Z/2018-12-01T13:20:00Z,64.0865,20.9398,SE
4151,SPO-SE20484_00001_100,SO2,µg/m3,1.03,2025-06-21T15:00:00Z/2025-06-21T16:00:00Z,55.8685,12.8283,SE
